number,category,code,technical_label,n_full,count_coder1_full,count_coder2_full,prev_coder1_full,prev_coder2_full,percent_agree_full,cohens_kappa_full,scotts_pi_full,gwet_ac1_full,krippendorff_alpha_full,f1_agreement_full,n_training_phase,percent_agree_training_phase,cohens_kappa_training_phase,gwet_ac1_training_phase,krippendorff_alpha_training_phase,n_blind_phase,percent_agree_blind_phase,cohens_kappa_blind_phase,gwet_ac1_blind_phase,krippendorff_alpha_blind_phase
1,Economic Frame (Primary Category),economic_frame,Eco_Detection,1000,249,179,0.249,0.179,0.866,0.605,0.602,0.732,0.602,0.687,600,0.865,0.589,0.73,0.585,400,0.868,0.625,0.735,0.625
2,Negative impacts of climate change on the economy,eco_neg_impact,Eco_1_SUB,1000,57,50,0.057,0.05,0.969,0.694,0.694,0.938,0.694,0.71,600,0.977,0.782,0.953,0.782,400,0.958,0.542,0.915,0.542
3,Positive impacts of climate change on the economy,eco_pos_impact,Eco_2_SUB,1000,14,14,0.014,0.014,0.998,0.928,0.928,0.996,0.928,0.929,600,1.0,1.0,1.0,1.0,400,0.995,0.831,0.99,0.831
4,Economic disadvantages of climate action,eco_cost,Eco_3_SUB,1000,58,41,0.058,0.041,0.953,0.501,0.501,0.906,0.501,0.525,600,0.958,0.525,0.917,0.524,400,0.945,0.471,0.89,0.472
5,Economic benefits of climate action,eco_benefit,Eco_4_SUB,1000,53,26,0.053,0.026,0.959,0.462,0.46,0.918,0.46,0.481,600,0.963,0.483,0.927,0.481,400,0.953,0.436,0.905,0.433
6,Carbon footprint of the economic sector,eco_footprint,Eco_5_SUB,1000,101,46,0.101,0.046,0.911,0.354,0.347,0.822,0.347,0.395,600,0.912,0.275,0.823,0.265,400,0.91,0.441,0.82,0.437
7,Health Frame (Primary Category),health_frame,Pbh_Detection,1000,58,46,0.058,0.046,0.98,0.797,0.797,0.96,0.797,0.808,600,0.975,0.756,0.95,0.756,400,0.988,0.865,0.975,0.865
8,Negative impacts of climate change on health,health_neg_impact,Pbh_1_SUB,1000,52,43,0.052,0.043,0.981,0.79,0.79,0.962,0.79,0.8,600,0.977,0.755,0.953,0.755,400,0.988,0.851,0.975,0.851
9,Health co-benefits of climate action,health_cobenefit,Pbh_3_SUB,1000,10,3,0.01,0.003,0.991,0.304,0.303,0.982,0.303,0.308,600,0.992,0.442,0.983,0.441,400,0.99,-0.004,0.98,-0.004
10,Security Frame (Primary Category),security_frame,Secu_Detection,1000,49,35,0.049,0.035,0.982,0.777,0.776,0.964,0.776,0.786,600,0.978,0.724,0.957,0.724,400,0.988,0.851,0.975,0.851
11,Presence of climate refugees,security_refugees,Secu_3_SUB,1000,29,24,0.029,0.024,0.991,0.826,0.826,0.982,0.826,0.83,600,0.988,0.768,0.977,0.768,400,0.995,0.907,0.99,0.907
12,Conflict,security_conflict,Secu_4_SUB,1000,15,11,0.015,0.011,0.996,0.844,0.844,0.992,0.844,0.846,600,0.993,0.711,0.987,0.711,400,1.0,1.0,1.0,1.0
13,Post-disaster military assistance,security_military,Secu_1_SUB,1000,4,3,0.004,0.003,0.995,0.283,0.283,0.99,0.283,0.286,600,0.995,0.398,0.99,0.398,400,0.995,-0.003,0.99,-0.001
14,Disruption of military operations,security_disruption,Secu_2_SUB,1000,4,0,0.004,0.0,0.996,0.0,-0.002,0.992,0.996,0.0,600,0.993,0.0,0.987,0.993,400,1.0,,1.0,1.0
15,Justice Frame (Primary Category),justice_frame,Just_Detection,1000,136,94,0.136,0.094,0.926,0.638,0.636,0.852,0.636,0.678,600,0.913,0.587,0.827,0.585,400,0.945,0.72,0.89,0.719
16,Winners and losers of climate action,justice_winners,Just_1_SUB,1000,40,9,0.04,0.009,0.965,0.275,0.268,0.93,0.268,0.286,600,0.967,0.159,0.933,0.15,400,0.963,0.386,0.925,0.381
17,Differentiated responsibility,justice_responsibility,Just_2_SUB,1000,52,25,0.052,0.025,0.973,0.637,0.635,0.946,0.635,0.649,600,0.972,0.626,0.943,0.624,400,0.975,0.655,0.95,0.654
18,Unequal vulnerability to climate change,justice_vulnerability,Just_3_SUB,1000,43,44,0.043,0.044,0.973,0.676,0.676,0.946,0.676,0.69,600,0.973,0.678,0.947,0.679,400,0.973,0.672,0.945,0.672
19,Unequal access to climate action,justice_access,Just_4_SUB,1000,55,5,0.055,0.005,0.944,0.058,0.038,0.888,0.038,0.067,600,0.937,-0.003,0.873,-0.032,400,0.955,0.168,0.91,0.16
20,Intergenerational justice,justice_intergen,Just_5_SUB,1000,33,22,0.033,0.022,0.981,0.645,0.645,0.962,0.645,0.655,600,0.977,0.599,0.953,0.599,400,0.988,0.731,0.975,0.731
21,Political Frame (Primary Category),political_frame,Pol_Detection,1000,384,288,0.384,0.288,0.834,0.632,0.628,0.668,0.628,0.753,600,0.823,0.611,0.647,0.606,400,0.85,0.664,0.7,0.662
22,Policy action,pol_action,Pol_1_SUB,1000,74,78,0.074,0.078,0.922,0.445,0.445,0.844,0.445,0.487,600,0.928,0.509,0.857,0.509,400,0.912,0.341,0.825,0.34
23,Political debate,pol_debate,Pol_2_SUB,1000,367,207,0.367,0.207,0.788,0.498,0.482,0.576,0.482,0.631,600,0.775,0.469,0.55,0.447,400,0.807,0.542,0.615,0.534
24,Political positioning,pol_position,Pol_3_SUB,1000,60,27,0.06,0.027,0.937,0.248,0.243,0.874,0.243,0.276,600,0.932,0.274,0.863,0.27,400,0.945,0.191,0.89,0.187
25,Public opinion data,pol_opinion,Pol_4_SUB,1000,27,15,0.027,0.015,0.988,0.709,0.708,0.976,0.708,0.714,600,0.983,0.635,0.967,0.635,400,0.995,0.855,0.99,0.855
26,Scientific Frame (Primary Category),scientific_frame,Sci_Detection,1000,149,119,0.149,0.119,0.902,0.579,0.578,0.804,0.578,0.634,600,0.913,0.59,0.827,0.59,400,0.885,0.564,0.77,0.562
27,Scientific debate,sci_debate,Sci_1_SUB,1000,64,14,0.064,0.014,0.948,0.318,0.306,0.896,0.306,0.333,600,0.95,0.237,0.9,0.225,400,0.945,0.402,0.89,0.393
28,Popularisation or scientific discovery,sci_discovery,Sci_2_SUB,1000,99,86,0.099,0.086,0.917,0.506,0.506,0.834,0.506,0.551,600,0.927,0.492,0.853,0.493,400,0.902,0.518,0.805,0.517
29,Questioning of climate science,sci_skepticism,Sci_3_SUB,1000,21,6,0.021,0.006,0.981,0.29,0.287,0.962,0.287,0.296,600,0.982,0.345,0.963,0.344,400,0.98,0.196,0.96,0.191
30,Defense of climate science,sci_defense,Sci_4_SUB,1000,19,14,0.019,0.014,0.989,0.661,0.661,0.978,0.661,0.667,600,0.985,0.632,0.97,0.633,400,0.995,0.748,0.99,0.748
31,Environmental Frame (Primary Category),environmental_frame,Envt_Detection,1000,60,42,0.06,0.042,0.952,0.505,0.504,0.904,0.504,0.529,600,0.952,0.428,0.903,0.428,400,0.953,0.588,0.905,0.587
32,Loss of natural environments,env_habitat,Envt_1_SUB,1000,46,18,0.046,0.018,0.96,0.358,0.354,0.92,0.354,0.375,600,0.963,0.253,0.927,0.248,400,0.955,0.45,0.91,0.448
33,Loss of fauna and flora,env_species,Envt_2_SUB,1000,46,24,0.046,0.024,0.96,0.41,0.408,0.92,0.408,0.429,600,0.962,0.392,0.923,0.391,400,0.958,0.432,0.915,0.43
34,Cultural Frame (Primary Category),cultural_frame,Cult_Detection,1000,52,30,0.052,0.03,0.968,0.594,0.593,0.936,0.593,0.61,600,0.962,0.449,0.923,0.446,400,0.978,0.757,0.955,0.758
35,Artistic representation,cult_art,Cult_1_SUB,1000,29,25,0.029,0.025,0.984,0.696,0.695,0.968,0.695,0.704,600,0.983,0.575,0.967,0.575,400,0.985,0.792,0.97,0.792
36,Difficulty to host cultural or sports events,cult_event_impact,Cult_2_SUB,1000,11,0,0.011,0.0,0.989,0.0,-0.006,0.978,0.989,0.0,600,0.987,0.0,0.973,0.987,400,0.993,0.0,0.985,0.993
37,Loss of indigenous practices,cult_indigenous,Cult_3_SUB,1000,8,4,0.008,0.004,0.996,0.665,0.665,0.992,0.665,0.667,600,0.993,0.331,0.987,0.331,400,1.0,1.0,1.0,1.0
38,Carbon footprint of the cultural and sports sectors,cult_footprint,Cult_4_SUB,1000,4,2,0.004,0.002,0.998,0.666,0.666,0.996,0.666,0.667,600,0.997,0.665,0.993,0.665,400,1.0,,1.0,1.0
39,Presence of Messengers (Primary Category),messenger,Messenger_Detection,1000,613,681,0.613,0.681,0.868,0.712,0.711,0.736,0.711,0.898,600,0.843,0.647,0.687,0.643,400,0.905,0.801,0.81,0.801
40,Health expert,msg_health,Messenger_1_SUB,1000,40,39,0.04,0.039,0.985,0.802,0.802,0.97,0.802,0.81,600,0.985,0.822,0.97,0.822,400,0.985,0.762,0.97,0.762
41,Economic expert,msg_economic,Messenger_2_SUB,1000,60,74,0.06,0.074,0.96,0.68,0.68,0.92,0.68,0.701,600,0.965,0.702,0.93,0.702,400,0.953,0.652,0.905,0.653
42,Security expert,msg_security,Messenger_3_SUB,1000,22,18,0.022,0.018,0.98,0.49,0.49,0.96,0.49,0.5,600,0.982,0.512,0.963,0.513,400,0.978,0.46,0.955,0.46
43,Legal expert,msg_legal,Messenger_4_SUB,1000,26,23,0.026,0.023,0.985,0.686,0.686,0.97,0.686,0.694,600,0.978,0.57,0.957,0.57,400,0.995,0.886,0.99,0.886
44,Cultural or Sport expert,msg_cultural,Messenger_5_SUB,1000,39,52,0.039,0.052,0.971,0.666,0.666,0.942,0.666,0.681,600,0.972,0.639,0.943,0.639,400,0.97,0.699,0.94,0.699
45,Natural scientist,msg_scientist,Messenger_6_SUB,1000,92,121,0.092,0.121,0.925,0.607,0.606,0.85,0.606,0.648,600,0.913,0.552,0.827,0.552,400,0.943,0.692,0.885,0.691
46,Social scientist,msg_social,Messenger_7_SUB,1000,41,41,0.041,0.041,0.966,0.568,0.568,0.932,0.568,0.585,600,0.962,0.511,0.923,0.511,400,0.973,0.653,0.945,0.653
47,Activist,msg_activist,Messenger_8_SUB,1000,69,76,0.069,0.076,0.949,0.621,0.621,0.898,0.621,0.648,600,0.95,0.654,0.9,0.654,400,0.948,0.56,0.895,0.561
48,Public official,msg_official,Messenger_9_SUB,1000,222,231,0.222,0.231,0.863,0.609,0.609,0.726,0.609,0.698,600,0.853,0.593,0.707,0.592,400,0.877,0.636,0.755,0.636
49,Presence of Events (Primary Category),event,Event_Detection,1000,423,436,0.423,0.436,0.837,0.667,0.667,0.674,0.667,0.81,600,0.852,0.695,0.703,0.695,400,0.815,0.626,0.63,0.626
50,Extreme meteorological event,evt_weather,Event_1_SUB,1000,56,42,0.056,0.042,0.972,0.7,0.7,0.944,0.7,0.714,600,0.972,0.687,0.943,0.687,400,0.973,0.718,0.945,0.718
51,Meeting,evt_meeting,Event_2_SUB,1000,85,65,0.085,0.065,0.954,0.669,0.668,0.908,0.668,0.693,600,0.948,0.592,0.897,0.59,400,0.963,0.762,0.925,0.762
52,Publication,evt_publication,Event_3_SUB,1000,100,112,0.1,0.112,0.958,0.778,0.778,0.916,0.778,0.802,600,0.955,0.759,0.91,0.759,400,0.963,0.807,0.925,0.807
53,Election,evt_election,Event_4_SUB,1000,49,45,0.049,0.045,0.976,0.732,0.732,0.952,0.732,0.745,600,0.975,0.756,0.95,0.756,400,0.978,0.678,0.955,0.678
54,New policy,evt_policy,Event_5_SUB,1000,82,111,0.082,0.111,0.913,0.502,0.501,0.826,0.501,0.549,600,0.927,0.574,0.853,0.574,400,0.892,0.398,0.785,0.397
55,Judiciary decision,evt_judiciary,Event_6_SUB,1000,29,25,0.029,0.025,0.99,0.81,0.81,0.98,0.81,0.815,600,0.99,0.795,0.98,0.795,400,0.99,0.828,0.98,0.828
56,Cultural or Sports event,evt_cultural,Event_7_SUB,1000,40,35,0.04,0.035,0.981,0.737,0.737,0.962,0.737,0.747,600,0.987,0.811,0.973,0.811,400,0.973,0.632,0.945,0.631
57,Protest,evt_protest,Event_8_SUB,1000,38,28,0.038,0.028,0.984,0.749,0.749,0.968,0.749,0.758,600,0.983,0.697,0.967,0.698,400,0.985,0.805,0.97,0.805
58,Presence of Solutions (Primary Category),solution,Solutions_Detection,1000,247,188,0.247,0.188,0.897,0.699,0.697,0.794,0.697,0.763,600,0.9,0.725,0.8,0.723,400,0.892,0.65,0.785,0.649
59,Mitigation strategy,sol_mitigation,Solutions_1_SUB,1000,204,165,0.204,0.165,0.913,0.712,0.711,0.826,0.711,0.764,600,0.915,0.738,0.83,0.737,400,0.91,0.661,0.82,0.661
60,Adaptation strategy,sol_adaptation,Solutions_2_SUB,1000,45,32,0.045,0.032,0.973,0.636,0.635,0.946,0.635,0.649,600,0.975,0.681,0.95,0.681,400,0.97,0.556,0.94,0.556
61,Emotion: positive,tone_positive,Emotion:_Positive,1000,75,112,0.075,0.112,0.907,0.454,0.451,0.814,0.451,0.503,600,0.902,0.445,0.803,0.442,400,0.915,0.468,0.83,0.468
62,Emotion: negative,tone_negative,Emotion:_Negative,1000,316,361,0.316,0.361,0.795,0.543,0.542,0.59,0.542,0.697,600,0.795,0.528,0.59,0.527,400,0.795,0.561,0.59,0.561
63,Emotion: neutral,tone_neutral,Emotion:_Neutral,1000,601,522,0.601,0.522,0.723,0.441,0.437,0.446,0.437,0.753,600,0.715,0.422,0.43,0.416,400,0.735,0.468,0.47,0.468
64,Mention of Canada,canada,Location_Detection,1000,490,516,0.49,0.516,0.938,0.876,0.876,0.876,0.876,0.938,600,0.94,0.88,0.88,0.88,400,0.935,0.87,0.87,0.87
65,Urgency to act,urgency,RED_Detection,1000,48,6,0.048,0.006,0.956,0.176,0.163,0.912,0.163,0.185,600,0.962,0.248,0.923,0.239,400,0.948,0.083,0.895,0.061
