number,category,code,tier_overall,tier_en,tier_fr,paradox_kappa,exclusion_reason,f1_all,f1_en,f1_fr,support_all,support_en,support_fr,cohens_kappa_blind_phase,gwet_ac1_blind_phase,krippendorff_alpha_blind_phase,n_blind_phase,prev_coder1_full,prev_coder2_full
1,Economic Frame (Primary Category),economic_frame,A,A,A,False,,0.83,0.847,0.814,249,120,129,0.625,0.735,0.625,400,0.249,0.179
2,Negative impacts of climate change on the economy,eco_neg_impact,B,B,B,False,,0.783,0.82,0.741,44,26,18,0.542,0.915,0.542,400,0.057,0.05
3,Positive impacts of climate change on the economy,eco_pos_impact,B,A,C,False,,0.684,0.806,0.508,13,12,1,0.831,0.99,0.831,400,0.014,0.014
4,Economic disadvantages of climate action,eco_cost,B,B,B,False,,0.723,0.741,0.702,45,22,23,0.471,0.89,0.472,400,0.058,0.041
5,Economic benefits of climate action,eco_benefit,B,B,B,False,,0.848,0.885,0.817,45,19,26,0.436,0.905,0.433,400,0.053,0.026
6,Carbon footprint of the economic sector,eco_footprint,B,B,B,False,,0.787,0.785,0.788,59,30,29,0.441,0.82,0.437,400,0.101,0.046
7,Health Frame (Primary Category),health_frame,A,A,A,False,,0.808,0.8,0.817,58,35,23,0.865,0.975,0.865,400,0.058,0.046
8,Negative impacts of climate change on health,health_neg_impact,C,C,C,False,,0.364,0.386,0.34,40,22,18,0.851,0.975,0.851,400,0.052,0.043
9,Health co-benefits of climate action,health_cobenefit,C,C,C,False,,0.186,0.252,0.103,8,4,4,-0.004,0.98,-0.004,400,0.01,0.003
10,Security Frame (Primary Category),security_frame,B,A,B,False,,0.782,0.825,0.73,49,30,19,0.851,0.975,0.851,400,0.049,0.035
11,Presence of climate refugees,security_refugees,C,C,C,False,,0.481,0.476,0.417,27,21,6,0.907,0.99,0.907,400,0.029,0.024
12,Conflict,security_conflict,C,C,C,False,,0.324,0.358,0.286,13,7,6,1.0,1.0,1.0,400,0.015,0.011
13,Post-disaster military assistance,security_military,C,C,C,False,insufficient_training_data,0.045,0.0,0.045,2,0,2,-0.003,0.99,-0.001,400,0.004,0.003
14,Disruption of military operations,security_disruption,C,C,C,False,insufficient_training_data,1.0,0.0,1.0,2,0,2,,1.0,1.0,400,0.004,0.0
15,Justice Frame (Primary Category),justice_frame,A,A,A,False,,0.857,0.832,0.88,136,62,74,0.72,0.89,0.719,400,0.136,0.094
16,Winners and losers of climate action,justice_winners,C,C,C,True,,0.708,0.654,0.737,32,10,22,0.386,0.925,0.381,400,0.04,0.009
17,Differentiated responsibility,justice_responsibility,A,A,A,False,,0.86,0.9,0.823,46,19,27,0.655,0.95,0.654,400,0.052,0.025
18,Unequal vulnerability to climate change,justice_vulnerability,A,B,A,False,,0.845,0.786,0.894,37,16,21,0.672,0.945,0.672,400,0.043,0.044
19,Unequal access to climate action,justice_access,C,C,C,False,,0.651,0.475,0.796,50,27,23,0.168,0.91,0.16,400,0.055,0.005
20,Intergenerational justice,justice_intergen,A,A,A,False,,0.942,0.924,0.952,29,10,19,0.731,0.975,0.731,400,0.033,0.022
21,Political Frame (Primary Category),political_frame,A,A,A,False,,0.829,0.812,0.842,384,167,217,0.664,0.7,0.662,400,0.384,0.288
22,Policy action,pol_action,C,C,C,True,,0.756,0.802,0.722,64,26,38,0.341,0.825,0.34,400,0.074,0.078
23,Political debate,pol_debate,C,C,B,False,,0.564,0.469,0.65,302,127,175,0.542,0.615,0.534,400,0.367,0.207
24,Political positioning,pol_position,C,C,C,True,,0.782,0.752,0.808,59,35,24,0.191,0.89,0.187,400,0.06,0.027
25,Public opinion data,pol_opinion,A,A,A,False,,0.894,0.877,0.91,27,12,15,0.855,0.99,0.855,400,0.027,0.015
26,Scientific Frame (Primary Category),scientific_frame,B,B,B,False,,0.89,0.891,0.89,149,74,75,0.564,0.77,0.562,400,0.149,0.119
27,Scientific debate,sci_debate,B,B,B,False,,0.911,0.962,0.867,52,26,26,0.402,0.89,0.393,400,0.064,0.014
28,Popularisation or scientific discovery,sci_discovery,B,B,B,False,,0.838,0.884,0.797,67,31,36,0.518,0.805,0.517,400,0.099,0.086
29,Questioning of climate science,sci_skepticism,C,C,C,True,,0.775,0.783,0.768,18,9,9,0.196,0.96,0.191,400,0.021,0.006
30,Defense of climate science,sci_defense,B,B,C,False,,0.682,0.769,0.46,17,8,9,0.748,0.99,0.748,400,0.019,0.014
31,Environmental Frame (Primary Category),environmental_frame,B,B,B,False,,0.871,0.866,0.875,60,28,32,0.588,0.905,0.587,400,0.06,0.042
32,Loss of natural environments,env_habitat,B,B,C,False,,0.721,0.804,0.573,42,16,26,0.45,0.91,0.448,400,0.046,0.018
33,Loss of fauna and flora,env_species,B,B,B,False,,0.703,0.714,0.692,40,19,21,0.432,0.915,0.43,400,0.046,0.024
34,Cultural Frame (Primary Category),cultural_frame,B,A,C,False,,0.708,0.802,0.581,52,41,11,0.757,0.955,0.758,400,0.052,0.03
35,Artistic representation,cult_art,B,A,C,False,,0.659,0.834,0.469,24,18,6,0.792,0.97,0.792,400,0.029,0.025
36,Difficulty to host cultural or sports events,cult_event_impact,C,C,C,False,,0.484,0.631,0.354,10,8,2,0.0,0.985,0.993,400,0.011,0.0
37,Loss of indigenous practices,cult_indigenous,C,A,C,False,,0.595,0.824,0.415,8,7,1,1.0,1.0,1.0,400,0.008,0.004
38,Carbon footprint of the cultural and sports sectors,cult_footprint,C,B,C,False,,0.351,0.702,0.014,3,2,1,,1.0,1.0,400,0.004,0.002
39,Presence of Messengers (Primary Category),messenger,A,A,A,False,,0.961,0.955,0.967,613,301,312,0.801,0.81,0.801,400,0.613,0.681
40,Health expert,msg_health,A,A,A,False,,0.907,0.862,0.951,40,19,21,0.762,0.97,0.762,400,0.04,0.039
41,Economic expert,msg_economic,A,A,A,False,,0.874,0.847,0.895,58,30,28,0.652,0.905,0.653,400,0.06,0.074
42,Security expert,msg_security,B,B,B,False,,0.787,0.728,0.813,21,7,14,0.46,0.955,0.46,400,0.022,0.018
43,Legal expert,msg_legal,A,A,A,False,,0.914,0.861,0.927,26,7,19,0.886,0.99,0.886,400,0.026,0.023
44,Cultural or Sport expert,msg_cultural,A,A,A,False,,0.843,0.853,0.825,39,26,13,0.699,0.94,0.699,400,0.039,0.052
45,Natural scientist,msg_scientist,A,A,A,False,,0.907,0.92,0.896,90,44,46,0.692,0.885,0.691,400,0.092,0.121
46,Social scientist,msg_social,A,A,A,False,,0.944,0.938,0.948,41,17,24,0.653,0.945,0.653,400,0.041,0.041
47,Activist,msg_activist,B,B,B,False,,0.918,0.934,0.903,64,31,33,0.56,0.895,0.561,400,0.069,0.076
48,Public official,msg_official,A,A,A,False,,0.929,0.927,0.93,217,104,113,0.636,0.755,0.636,400,0.222,0.231
49,Presence of Events (Primary Category),event,A,A,A,False,,0.897,0.881,0.912,423,201,222,0.626,0.63,0.626,400,0.423,0.436
50,Extreme meteorological event,evt_weather,A,A,A,False,,0.889,0.887,0.891,50,29,21,0.718,0.945,0.718,400,0.056,0.042
51,Meeting,evt_meeting,A,A,A,False,,0.877,0.855,0.891,80,30,50,0.762,0.925,0.762,400,0.085,0.065
52,Publication,evt_publication,A,A,A,False,,0.958,0.95,0.962,92,30,62,0.807,0.925,0.807,400,0.1,0.112
53,Election,evt_election,A,A,A,False,,0.903,0.911,0.895,47,25,22,0.678,0.955,0.678,400,0.049,0.045
54,New policy,evt_policy,C,C,C,True,,0.829,0.821,0.837,62,29,33,0.398,0.785,0.397,400,0.082,0.111
55,Judiciary decision,evt_judiciary,A,B,A,False,,0.808,0.628,0.939,25,6,19,0.828,0.98,0.828,400,0.029,0.025
56,Cultural or Sports event,evt_cultural,A,A,A,False,,0.881,0.906,0.857,29,17,12,0.632,0.945,0.631,400,0.04,0.035
57,Protest,evt_protest,A,A,A,False,,0.943,0.982,0.909,34,16,18,0.805,0.97,0.805,400,0.038,0.028
58,Presence of Solutions (Primary Category),solution,A,A,A,False,,0.9,0.891,0.909,247,114,133,0.65,0.785,0.649,400,0.247,0.188
59,Mitigation strategy,sol_mitigation,A,A,A,False,,0.839,0.872,0.801,173,76,97,0.661,0.82,0.661,400,0.204,0.165
60,Adaptation strategy,sol_adaptation,B,B,B,False,,0.895,0.889,0.903,38,22,16,0.556,0.94,0.556,400,0.045,0.032
61,Emotion: positive,tone_positive,B,B,B,False,,0.702,0.712,0.692,75,38,37,0.468,0.83,0.468,400,0.075,0.112
62,Emotion: negative,tone_negative,B,B,B,False,,0.799,0.793,0.804,316,151,165,0.561,0.59,0.561,400,0.316,0.361
63,Emotion: neutral,tone_neutral,B,B,B,False,,0.777,0.756,0.798,601,295,306,0.468,0.47,0.468,400,0.601,0.522
64,Mention of Canada,canada,A,A,A,False,,0.982,0.986,0.978,490,235,255,0.87,0.87,0.87,400,0.49,0.516
65,Urgency to act,urgency,C,C,C,True,,0.853,0.874,0.835,48,23,25,0.083,0.895,0.061,400,0.048,0.006
